state,tfr_2011,tfr_2001
Andaman and Nicobar,1.68,2.32
Andhra Pradesh,1.79,2.31
Arunachal Pradesh,3.29,3.92
Assam,2.89,3.19
Bihar,4.24,4.54
Chandigarh,1.99,2.25
Chhattisgarh,2.96,3.60
Dadra and Nagar Haveli,3.07,3.61
Daman and Diu,2.14,2.48
Delhi,2.21,2.62
Goa,1.54,1.79
Gujarat,2.38,2.57
Haryana,2.66,3.22
Himachal Pradesh,1.99,2.39
Jammu and Kashmir,,2.98
Jharkhand,3.48,4.07
Karnataka,2.04,2.40
Kerala,1.58,1.70
Lakshadweep,2.06,2.69
Madhya Pradesh,3.17,3.86
Maharashtra,2.16,2.56
Manipur,2.48,2.59
Meghalaya,4.34,4.45
Mizoram,2.90,3.36
Nagaland,2.82,3.16
Odisha,2.36,2.82
Puducherry,1.66,1.82
Punjab,2.05,2.42
Rajasthan,3.42,4.22
Sikkim,1.87,3.03
Tamil Nadu,1.62,1.85
Tripura,2.21,2.48
Uttar Pradesh,3.59,4.36
Uttarakhand,2.58,3.63
West Bengal,2.02,2.62
India,2.66,3.16
