state_clean,year,tfr_total,source
Andaman & Nicobar Islands,2014,1.4,NFHS
Andaman & Nicobar Islands,2018,1.3,NFHS
Andaman & Nicobar Islands,2022,0.9,NFHS
Andhra Pradesh,1991,2.6,NFHS
Andhra Pradesh,1997,2.3,NFHS
Andhra Pradesh,2004,1.8,NFHS
Andhra Pradesh,2014,1.8,NFHS
Andhra Pradesh,2018,1.7,NFHS
Andhra Pradesh,2022,1.8,NFHS
Arunachal Pradesh,1991,4.3,NFHS
Arunachal Pradesh,1997,2.5,NFHS
Arunachal Pradesh,2004,3,NFHS
Arunachal Pradesh,2014,2.1,NFHS
Arunachal Pradesh,2018,1.8,NFHS
Arunachal Pradesh,2022,1.5,NFHS
Assam,1991,3.5,NFHS
Assam,1997,2.3,NFHS
Assam,2004,2.4,NFHS
Assam,2014,2.2,NFHS
Assam,2018,1.9,NFHS
Assam,2022,1.6,NFHS
Bihar,1991,4,NFHS
Bihar,1997,3.5,NFHS
Bihar,2004,4,NFHS
Bihar,2014,3.4,NFHS
Bihar,2018,3,NFHS
Bihar,2022,2.7,NFHS
Chandigarh,2014,1.6,NFHS
Chandigarh,2018,1.4,NFHS
Chandigarh,2022,1.8,NFHS
Chhattisgarh,2004,2.6,NFHS
Chhattisgarh,2014,2.2,NFHS
Chhattisgarh,2018,1.8,NFHS
Chhattisgarh,2022,1.9,NFHS
Dadra & Nagar Haveli and Daman & Diu,2014,2.1,NFHS
Dadra & Nagar Haveli and Daman & Diu,2018,1.8,NFHS
Dadra & Nagar Haveli and Daman & Diu,2022,1.7,NFHS
Delhi,1991,3,NFHS
Delhi,1997,2.4,NFHS
Delhi,2004,2.1,NFHS
Delhi,2014,1.8,NFHS
Delhi,2018,1.6,NFHS
Delhi,2022,1.6,NFHS
Goa,1991,1.9,NFHS
Goa,1997,1.8,NFHS
Goa,2004,1.8,NFHS
Goa,2014,1.7,NFHS
Goa,2018,1.3,NFHS
Goa,2022,1.6,NFHS
Gujarat,1991,3,NFHS
Gujarat,1997,2.7,NFHS
Gujarat,2004,2.4,NFHS
Gujarat,2014,2,NFHS
Gujarat,2018,1.9,NFHS
Gujarat,2022,1.9,NFHS
Haryana,1991,4,NFHS
Haryana,1997,2.9,NFHS
Haryana,2004,2.7,NFHS
Haryana,2014,2.1,NFHS
Haryana,2018,1.9,NFHS
Haryana,2022,2,NFHS
Himachal Pradesh,1991,3,NFHS
Himachal Pradesh,1997,2.1,NFHS
Himachal Pradesh,2004,1.9,NFHS
Himachal Pradesh,2014,1.9,NFHS
Himachal Pradesh,2018,1.7,NFHS
Himachal Pradesh,2022,1.8,NFHS
Jammu & Kashmir,1991,3.1,NFHS
Jammu & Kashmir,1997,2.7,NFHS
Jammu & Kashmir,2004,2.4,NFHS
Jammu & Kashmir,2014,2,NFHS
Jammu & Kashmir,2018,1.4,NFHS
Jammu & Kashmir,2022,1.8,NFHS
Jharkhand,2004,3.3,NFHS
Jharkhand,2014,2.6,NFHS
Jharkhand,2018,2.3,NFHS
Jharkhand,2022,2.2,NFHS
Karnataka,1991,2.9,NFHS
Karnataka,1997,2.1,NFHS
Karnataka,2004,2.1,NFHS
Karnataka,2014,1.8,NFHS
Karnataka,2018,1.7,NFHS
Karnataka,2022,1.8,NFHS
Kerala,1991,2,NFHS
Kerala,1997,2,NFHS
Kerala,2004,1.9,NFHS
Kerala,2014,1.6,NFHS
Kerala,2018,1.8,NFHS
Kerala,2022,1.8,NFHS
Ladakh,2018,1.3,NFHS
Ladakh,2022,1.6,NFHS
Lakshadweep,2014,1.8,NFHS
Lakshadweep,2018,1.4,NFHS
Lakshadweep,2022,2.2,NFHS
Madhya Pradesh,1991,3.9,NFHS
Madhya Pradesh,1997,3.3,NFHS
Madhya Pradesh,2004,3.1,NFHS
Madhya Pradesh,2014,2.3,NFHS
Madhya Pradesh,2018,2,NFHS
Madhya Pradesh,2022,2.1,NFHS
Maharashtra,1991,2.9,NFHS
Maharashtra,1997,2.5,NFHS
Maharashtra,2004,2.1,NFHS
Maharashtra,2014,1.9,NFHS
Maharashtra,2018,1.7,NFHS
Maharashtra,2022,1.8,NFHS
Manipur,1991,2.8,NFHS
Manipur,1997,3,NFHS
Manipur,2004,2.8,NFHS
Manipur,2014,2.6,NFHS
Manipur,2018,2.2,NFHS
Meghalaya,1991,3.7,NFHS
Meghalaya,1997,4.6,NFHS
Meghalaya,2004,3.8,NFHS
Meghalaya,2014,3,NFHS
Meghalaya,2018,2.9,NFHS
Meghalaya,2022,2.2,NFHS
Mizoram,1991,2.3,NFHS
Mizoram,1997,2.9,NFHS
Mizoram,2004,2.9,NFHS
Mizoram,2014,2.3,NFHS
Mizoram,2018,1.9,NFHS
Mizoram,2022,1.6,NFHS
Nagaland,1991,3.3,NFHS
Nagaland,1997,3.8,NFHS
Nagaland,2004,3.7,NFHS
Nagaland,2014,2.7,NFHS
Nagaland,2018,1.7,NFHS
Nagaland,2022,2,NFHS
Odisha,1991,2.9,NFHS
Odisha,1997,2.5,NFHS
Odisha,2004,2.4,NFHS
Odisha,2014,2.1,NFHS
Odisha,2018,1.8,NFHS
Odisha,2022,1.7,NFHS
Puducherry,2014,1.7,NFHS
Puducherry,2018,1.5,NFHS
Puducherry,2022,1.6,NFHS
Punjab,1991,2.9,NFHS
Punjab,1997,2.2,NFHS
Punjab,2004,2,NFHS
Punjab,2014,1.6,NFHS
Punjab,2018,1.6,NFHS
Punjab,2022,1.6,NFHS
Rajasthan,1991,3.6,NFHS
Rajasthan,1997,3.8,NFHS
Rajasthan,2004,3.2,NFHS
Rajasthan,2014,2.4,NFHS
Rajasthan,2018,2,NFHS
Rajasthan,2022,2.1,NFHS
Sikkim,1997,2.8,NFHS
Sikkim,2004,2,NFHS
Sikkim,2014,1.2,NFHS
Sikkim,2018,1.1,NFHS
Sikkim,2022,1,NFHS
Tamil Nadu,1991,2.5,NFHS
Tamil Nadu,1997,2.2,NFHS
Tamil Nadu,2004,1.8,NFHS
Tamil Nadu,2014,1.7,NFHS
Tamil Nadu,2018,1.8,NFHS
Tamil Nadu,2022,1.7,NFHS
Telangana,2014,1.8,NFHS
Telangana,2018,1.8,NFHS
Telangana,2022,1.9,NFHS
Tripura,1991,2.7,NFHS
Tripura,2004,2.2,NFHS
Tripura,2014,1.7,NFHS
Tripura,2018,1.7,NFHS
Tripura,2022,1.7,NFHS
Uttar Pradesh,1991,4.8,NFHS
Uttar Pradesh,1997,4,NFHS
Uttar Pradesh,2004,3.8,NFHS
Uttar Pradesh,2014,2.7,NFHS
Uttar Pradesh,2018,2.4,NFHS
Uttar Pradesh,2022,2.2,NFHS
Uttarakhand,2014,2.1,NFHS
Uttarakhand,2018,1.9,NFHS
Uttarakhand,2022,1.9,NFHS
West Bengal,1991,2.9,NFHS
West Bengal,1997,2.3,NFHS
West Bengal,2004,2.3,NFHS
West Bengal,2014,1.8,NFHS
West Bengal,2018,1.6,NFHS
West Bengal,2022,1.6,NFHS
