state_clean,year,tfr_total,source
Andaman & Nicobar Islands,1991,2.5,SRS
Andaman & Nicobar Islands,1992,2.6,SRS
Andaman & Nicobar Islands,1993,2.5,SRS
Andaman & Nicobar Islands,1994,2.3,SRS
Andaman & Nicobar Islands,1995,1.9,SRS
Andaman & Nicobar Islands,1996,1.9,SRS
Andaman & Nicobar Islands,1997,1.8,SRS
Andaman & Nicobar Islands,1998,1.8,SRS
Andaman & Nicobar Islands,1999,1.8,SRS
Andaman & Nicobar Islands,2000,1.8,SRS
Andaman & Nicobar Islands,2001,1.7,SRS
Andaman & Nicobar Islands,2002,1.6,SRS
Andaman & Nicobar Islands,2003,1.6,SRS
Andaman & Nicobar Islands,2004,1.6,SRS
Andaman & Nicobar Islands,2005,1.6,SRS
Andaman & Nicobar Islands,2006,1.5,SRS
Andaman & Nicobar Islands,2007,1.6,SRS
Andaman & Nicobar Islands,2008,1.6,SRS
Andaman & Nicobar Islands,2009,1.6,SRS
Andaman & Nicobar Islands,2010,1.6,SRS
Andaman & Nicobar Islands,2011,1.5,SRS
Andaman & Nicobar Islands,2012,1.5,SRS
Andhra Pradesh,1972,4.5,SRS
Andhra Pradesh,1973,4.5,SRS
Andhra Pradesh,1974,4.5,SRS
Andhra Pradesh,1975,4.5,SRS
Andhra Pradesh,1976,4.4,SRS
Andhra Pradesh,1977,4.3,SRS
Andhra Pradesh,1978,4.2,SRS
Andhra Pradesh,1979,4.1,SRS
Andhra Pradesh,1980,3.9,SRS
Andhra Pradesh,1981,3.9,SRS
Andhra Pradesh,1982,3.9,SRS
Andhra Pradesh,1983,3.9,SRS
Andhra Pradesh,1984,3.9,SRS
Andhra Pradesh,1985,3.8,SRS
Andhra Pradesh,1986,3.7,SRS
Andhra Pradesh,1987,3.6,SRS
Andhra Pradesh,1988,3.3,SRS
Andhra Pradesh,1989,3.2,SRS
Andhra Pradesh,1990,3.1,SRS
Andhra Pradesh,1991,3,SRS
Andhra Pradesh,1992,2.8,SRS
Andhra Pradesh,1993,2.7,SRS
Andhra Pradesh,1994,2.7,SRS
Andhra Pradesh,1995,2.6,SRS
Andhra Pradesh,1996,2.6,SRS
Andhra Pradesh,1997,2.5,SRS
Andhra Pradesh,1998,2.4,SRS
