state_clean,women_15_49,proportion_of_india,pct_of_india
Uttar Pradesh,47601573,0.15272487563263948,15.272487563263947
Maharashtra,29702508,0.09529751969073541,9.52975196907354
West Bengal,24965582,0.08009956742493494,8.009956742493495
Bihar,23042786,0.07393046919015736,7.393046919015736
Tamil Nadu,20487631,0.06573251048830696,6.573251048830696
Madhya Pradesh,18076600,0.05799695919420501,5.7996959194205004
Rajasthan,16874811,0.05414113964887876,5.414113964887876
Karnataka,16869595,0.054124404635703886,5.412440463570388
Gujarat,15825919,0.05077587480244038,5.077587480244038
Andhra Pradesh,13719544.263188478,0.0440177825915953,4.40177825915953
Odisha,11174942,0.035853681288052386,3.5853681288052384
Telangana,9723943.736811522,0.03119829880124599,3.1198298801245987
Kerala,9332494,0.029942371557602817,2.9942371557602816
Assam,8266540,0.02652236499437192,2.6522364994371923
Jharkhand,7975797,0.025589545221461046,2.5589545221461045
Punjab,7413176,0.02378443213720832,2.378443213720832
Chhattisgarh,6711307,0.02153255580246188,2.153255580246188
Haryana,6505475,0.020872164462007282,2.087216446200728
Delhi,4565394,0.014647609037289556,1.4647609037289555
Jammu & Kashmir,3021883.9898176943,0.009695411883157133,0.9695411883157133
Uttarakhand,2644014,0.008483053896579378,0.8483053896579378
Himachal Pradesh,1878530,0.0060270752107747,0.6027075210774699
Tripura,1022640,0.0032810379358044,0.32810379358043995
Manipur,792053,0.0025412226591642047,0.25412226591642045
Meghalaya,747351,0.002397800772863719,0.2397800772863719
Nagaland,528045,0.001694179453973866,0.16941794539738658
Goa,403833,0.0012956577023485274,0.12956577023485275
Puducherry,365899,0.001173950265658388,0.1173950265658388
Arunachal Pradesh,362443,0.0011628620360701265,0.11628620360701264
Mizoram,295545,9.482265085829924e-4,0.09482265085829923
Chandigarh,284613,9.131522823506782e-4,0.09131522823506782
Sikkim,168653,5.411062455871269e-4,0.05411062455871269
Dadra & Nagar Haveli and Daman & Diu,138133,4.431858847556023e-4,0.04431858847556023
Andaman & Nicobar Islands,107388,3.4454363397692526e-4,0.034454363397692526
Ladakh,67527.01018230565,2.1665364360830283e-4,0.021665364360830282
Lakshadweep,17689,5.675338344524371e-5,0.005675338344524371
