state,group,census_year,log_census_tfr,comparison_type,fitted_median,ci_lo,ci_hi,abs_diff,census_year_label
Andaman & Nicobar Islands,By2011,2001,0.8415671856782185,Model,0.6491148651220526,0.6100589878395358,0.6877037047386908,0.1924523205561659,Census 2001
Andaman & Nicobar Islands,By2011,2001,0.8415671856782185,Raw SRS,0.6382519364126242,0.5719198635223891,0.7045840093028594,0.2033152492655943,Census 2001
Andhra Pradesh,By2011,2001,0.8372475245337022,Model,0.916896020732361,0.8799580726493313,0.9551463429362259,0.07964849619865877,Census 2001
Andhra Pradesh,By2011,2001,0.8372475245337022,Raw SRS,0.9209959438572872,0.8854115088898197,0.9565803788247548,0.08374841932358501,Census 2001
Arunachal Pradesh,By2016,2001,1.366091653802371,Model,1.0789998161507042,1.042253778137885,1.1144740407352556,0.2870918376516669,Census 2001
Arunachal Pradesh,By2016,2001,1.366091653802371,Raw SRS,1.061505620096751,0.9983667444169271,1.1246444957765749,0.3045860337056201,Census 2001
Assam,By2021,2001,1.1600209167967532,Model,1.1748746430793164,1.1383422661688347,1.2101892089635753,0.014853726282563207,Census 2001
Assam,By2021,2001,1.1600209167967532,Raw SRS,1.1886147066244734,1.153505345674515,1.2237240675744319,0.028593789827720206,Census 2001
Bihar,NotYet,2001,1.5129270120532565,Model,1.4958251447035689,1.4601995769883447,1.5313562494506725,0.01710186734968766,Census 2001
Bihar,NotYet,2001,1.5129270120532565,Raw SRS,1.500796424635511,1.489408739521258,1.512184109749764,0.01213058741774553,Census 2001
Chandigarh,By2011,2001,0.8109302162163288,Model,0.6652831799019008,0.625917024290783,0.7042657919304189,0.145647036314428,Census 2001
Chandigarh,By2011,2001,0.8109302162163288,Raw SRS,0.7195915121062634,0.6719528640628611,0.7672301601496656,0.0913387041100654,Census 2001
Delhi,By2016,2001,0.9631743177730056,Model,0.7505179067014164,0.6443100994634384,0.861457553285522,0.21265641107158917,Census 2001
Goa,Pre2001,2001,0.5822156198526637,Model,0.3641559265858978,0.3269771330925624,0.40084567224125917,0.21805969326676589,Census 2001
Goa,Pre2001,2001,0.5822156198526637,Raw SRS,0.3561844856174847,0.3312450496717255,0.38112392156324393,0.22603113423517895,Census 2001
