regime,state,group,year,median_tfr,signed_diff_vs_main,abs_diff_vs_main
main,Andaman & Nicobar Islands,By2011,2030,1.158497631232049,0,0
main,Andaman & Nicobar Islands,By2011,2040,1.1055596627704276,0,0
main,Andaman & Nicobar Islands,By2011,2050,1.0653524011613396,0,0
main,Andhra Pradesh,By2011,2030,1.4000756328539705,0,0
main,Andhra Pradesh,By2011,2040,1.2786210410013101,0,0
main,Andhra Pradesh,By2011,2050,1.1929063080233373,0,0
main,Arunachal Pradesh,By2016,2030,1.6045183713513154,0,0
main,Arunachal Pradesh,By2016,2040,1.462779663783076,0,0
main,Arunachal Pradesh,By2016,2050,1.3602784921401485,0,0
main,Assam,By2021,2030,1.8863442310467744,0,0
main,Assam,By2021,2040,1.7153927900150852,0,0
main,Assam,By2021,2050,1.5867403032585203,0,0
main,Bihar,NotYet,2030,2.5952117914443966,0,0
main,Bihar,NotYet,2040,2.279690992199769,0,0
main,Bihar,NotYet,2050,2.0375466133705595,0,0
main,Chandigarh,By2011,2030,1.3578208610589875,0,0
main,Chandigarh,By2011,2040,1.2470792778591129,0,0
main,Chandigarh,By2011,2050,1.1608808602629264,0,0
main,Chhattisgarh,By2021,2030,2.0282550236164383,0,0
main,Chhattisgarh,By2021,2040,1.831064623600672,0,0
main,Chhattisgarh,By2021,2050,1.6713694983149878,0,0
main,Dadra & Nagar Haveli and Daman & Diu,By2021,2030,1.8176070417563506,0,0
main,Dadra & Nagar Haveli and Daman & Diu,By2021,2040,1.6591719637503446,0,0
main,Dadra & Nagar Haveli and Daman & Diu,By2021,2050,1.5421745530509803,0,0
main,Delhi,By2016,2030,1.249304689830899,0,0
main,Delhi,By2016,2040,1.189339914438781,0,0
main,Delhi,By2016,2050,1.1404489568213827,0,0
main,Goa,Pre2001,2030,1.2831842848367208,0,0
main,Goa,Pre2001,2040,1.2080024169452264,0,0
main,Goa,Pre2001,2050,1.1505861838125537,0,0
main,Gujarat,By2016,2030,1.712658765795541,0,0
main,Gujarat,By2016,2040,1.5474054053840467,0,0
main,Gujarat,By2016,2050,1.4160368698126131,0,0
main,Haryana,By2016,2030,1.768744134163303,0,0
main,Haryana,By2016,2040,1.5800355346790997,0,0
main,Haryana,By2016,2050,1.442809638644042,0,0
main,Himachal Pradesh,By2011,2030,1.426151182796325,0,0
main,Himachal Pradesh,By2011,2040,1.2971404765567578,0,0
main,Himachal Pradesh,By2011,2050,1.205986572868676,0,0
main,Jammu & Kashmir,By2016,2030,1.4308492652459632,0,0
main,Jammu & Kashmir,By2016,2040,1.3313326687015135,0,0
main,Jammu & Kashmir,By2016,2050,1.2526047944424215,0,0
main,Jharkhand,NotYet,2030,2.0412846323360565,0,0
