regime,state,group,year,ci90_width,width_pct_change_vs_main
main,Andaman & Nicobar Islands,By2011,2030,0.443250124834048,0
main,Andaman & Nicobar Islands,By2011,2040,0.5045034589650437,0
main,Andaman & Nicobar Islands,By2011,2050,0.5464221155585226,0
main,Andhra Pradesh,By2011,2030,0.4293033318168331,0
main,Andhra Pradesh,By2011,2040,0.533308403609406,0
main,Andhra Pradesh,By2011,2050,0.5565593731128254,0
main,Arunachal Pradesh,By2016,2030,0.5596232653813076,0
main,Arunachal Pradesh,By2016,2040,0.6222976813501451,0
main,Arunachal Pradesh,By2016,2050,0.619431160767526,0
main,Assam,By2021,2030,0.45215466359694734,0
main,Assam,By2021,2040,0.5754945059071443,0
main,Assam,By2021,2050,0.6221526350478703,0
main,Bihar,NotYet,2030,0.6319510161943711,0
main,Bihar,NotYet,2040,0.7535909685239985,0
main,Bihar,NotYet,2050,0.7879321762866067,0
main,Chandigarh,By2011,2030,0.5358689302596222,0
main,Chandigarh,By2011,2040,0.567980821846484,0
main,Chandigarh,By2011,2050,0.5756797772283956,0
main,Chhattisgarh,By2021,2030,0.48457445247706876,0
main,Chhattisgarh,By2021,2040,0.6246745961049212,0
main,Chhattisgarh,By2021,2050,0.6724655620616935,0
main,Dadra & Nagar Haveli and Daman & Diu,By2021,2030,0.583181847287044,0
main,Dadra & Nagar Haveli and Daman & Diu,By2021,2040,0.6428817792302897,0
main,Dadra & Nagar Haveli and Daman & Diu,By2021,2050,0.6635169559569944,0
main,Delhi,By2016,2030,0.33589895818437765,0
main,Delhi,By2016,2040,0.43759962772894034,0
main,Delhi,By2016,2050,0.49645882607738956,0
main,Goa,Pre2001,2030,0.4669082935848896,0
main,Goa,Pre2001,2040,0.5229132615740754,0
main,Goa,Pre2001,2050,0.5584330169224115,0
main,Gujarat,By2016,2030,0.4601567059754159,0
main,Gujarat,By2016,2040,0.5740265877999886,0
main,Gujarat,By2016,2050,0.6077978277750977,0
main,Haryana,By2016,2030,0.48106611302567615,0
main,Haryana,By2016,2040,0.6006193784580491,0
main,Haryana,By2016,2050,0.6253567717916304,0
main,Himachal Pradesh,By2011,2030,0.43499277884212484,0
main,Himachal Pradesh,By2011,2040,0.5323107107981648,0
main,Himachal Pradesh,By2011,2050,0.564231402076174,0
main,Jammu & Kashmir,By2016,2030,0.3802379250745265,0
main,Jammu & Kashmir,By2016,2040,0.5008692778142434,0
main,Jammu & Kashmir,By2016,2050,0.5399835454778044,0
main,Jharkhand,NotYet,2030,0.49223367283899844,0
main,Jharkhand,NotYet,2040,0.6298528521564244,0
main,Jharkhand,NotYet,2050,0.6758125159279178,0
main,Karnataka,By2011,2030,0.4408852240611991,0
main,Karnataka,By2011,2040,0.5251987986966062,0
main,Karnataka,By2011,2050,0.5557090987654302,0
main,Kerala,Pre2001,2030,0.40498451691821846,0
main,Kerala,Pre2001,2040,0.5014615677775378,0
main,Kerala,Pre2001,2050,0.5480215970251913,0
main,Ladakh,By2016,2030,0.3852527698472714,0
main,Ladakh,By2016,2040,0.4743482756155304,0
main,Ladakh,By2016,2050,0.5157395896186274,0
main,Lakshadweep,By2011,2030,0.5383501392314429,0
main,Lakshadweep,By2011,2040,0.6008592533565407,0
main,Lakshadweep,By2011,2050,0.5919780228991641,0
main,Madhya Pradesh,By2021,2030,0.5393943290227321,0
main,Madhya Pradesh,By2021,2040,0.679599711676055,0
main,Madhya Pradesh,By2021,2050,0.7089612319715197,0
main,Maharashtra,By2016,2030,0.37084103526406054,0
main,Maharashtra,By2016,2040,0.4894838737199392,0
main,Maharashtra,By2016,2050,0.5379655461752565,0
main,Manipur,NotYet,2030,0.48846520327802145,0
main,Manipur,NotYet,2040,0.5462385671996539,0
main,Manipur,NotYet,2050,0.576578297079051,0
main,Meghalaya,NotYet,2030,0.6975806747632576,0
main,Meghalaya,NotYet,2040,0.7431761038313087,0
main,Meghalaya,NotYet,2050,0.7587303115107513,0
main,Mizoram,By2021,2030,0.4850025577472794,0
main,Mizoram,By2021,2040,0.5513850877822073,0
main,Mizoram,By2021,2050,0.5889690714753948,0
main,Nagaland,By2021,2030,0.5135865627619234,0
main,Nagaland,By2021,2040,0.5615419143464222,0
main,Nagaland,By2021,2050,0.5774744746903138,0
main,Odisha,By2016,2030,0.4259989773005437,0
main,Odisha,By2016,2040,0.5317486055556657,0
main,Odisha,By2016,2050,0.5785346530897395,0
main,Puducherry,Pre2001,2030,0.5279513851242688,0
main,Puducherry,Pre2001,2040,0.5645857088262687,0
main,Puducherry,Pre2001,2050,0.5863100523934766,0
main,Punjab,By2011,2030,0.41238280747001155,0
main,Punjab,By2011,2040,0.5163265140015334,0
main,Punjab,By2011,2050,0.5513935540702545,0
main,Rajasthan,By2021,2030,0.5366453893913392,0
main,Rajasthan,By2021,2040,0.649736205540433,0
main,Rajasthan,By2021,2050,0.6967270612363254,0
main,Sikkim,By2011,2030,0.4429339419568761,0
main,Sikkim,By2011,2040,0.5091950975423647,0
main,Sikkim,By2011,2050,0.5416582682355701,0
main,Tamil Nadu,Pre2001,2030,0.37729967566364975,0
main,Tamil Nadu,Pre2001,2040,0.46538764544089684,0
main,Tamil Nadu,Pre2001,2050,0.5156386252365871,0
main,Telangana,By2011,2030,0.4291530349698838,0
main,Telangana,By2011,2040,0.5206146807960861,0
main,Telangana,By2011,2050,0.5639170316015238,0
main,Tripura,By2016,2030,0.4614847004234126,0
main,Tripura,By2016,2040,0.5180091902999768,0
main,Tripura,By2016,2050,0.5564539738027227,0
main,Uttar Pradesh,NotYet,2030,0.5619057095110698,0
main,Uttar Pradesh,NotYet,2040,0.6912348180538808,0
main,Uttar Pradesh,NotYet,2050,0.7271915683847752,0
main,Uttarakhand,By2016,2030,0.43410331565283733,0
main,Uttarakhand,By2016,2040,0.5409958470593978,0
main,Uttarakhand,By2016,2050,0.580400570175464,0
main,West Bengal,By2011,2030,0.3920313889058131,0
main,West Bengal,By2011,2040,0.4977115006681502,0
main,West Bengal,By2011,2050,0.5251093060938093,0
wide_combined,Andaman & Nicobar Islands,By2011,2030,0.4254467786735028,-4.016546225951043
wide_combined,Andaman & Nicobar Islands,By2011,2040,0.4875368541017647,-3.363030433544468
wide_combined,Andaman & Nicobar Islands,By2011,2050,0.5156643719226871,-5.628934620334067
wide_combined,Andhra Pradesh,By2011,2030,0.41245920453582974,-3.923595749820573
wide_combined,Andhra Pradesh,By2011,2040,0.5165884299429861,-3.135141609106452
wide_combined,Andhra Pradesh,By2011,2050,0.5478585980519419,-1.5633148018369099
wide_combined,Arunachal Pradesh,By2016,2030,0.5549348881908243,-0.8377738168710377
wide_combined,Arunachal Pradesh,By2016,2040,0.6116201493138524,-1.7158238502715477
wide_combined,Arunachal Pradesh,By2016,2050,0.6129312099401738,-1.04934191868847
wide_combined,Assam,By2021,2030,0.4512881322182867,-0.1916449056982617
wide_combined,Assam,By2021,2040,0.5735597199657692,-0.3361953800628239
wide_combined,Assam,By2021,2050,0.6388910170228352,2.6903979878952065
wide_combined,Bihar,NotYet,2030,0.6150034214457283,-2.68178930238957
wide_combined,Bihar,NotYet,2040,0.77411548540922,2.7235619510437226
wide_combined,Bihar,NotYet,2050,0.8449617690523965,7.237880934696786
wide_combined,Chandigarh,By2011,2030,0.5058010024647714,-5.6110601113379035
wide_combined,Chandigarh,By2011,2040,0.5532372214585739,-2.5957919388861113
wide_combined,Chandigarh,By2011,2050,0.5714858254964987,-0.7285216361235733
wide_combined,Chhattisgarh,By2021,2030,0.4775539275345464,-1.4488021204243313
wide_combined,Chhattisgarh,By2021,2040,0.5970823805807011,-4.417054206504928
wide_combined,Chhattisgarh,By2021,2050,0.6684359447352746,-0.5992302883235598
wide_combined,Dadra & Nagar Haveli and Daman & Diu,By2021,2030,0.5959734281879647,2.1934120481333563
wide_combined,Dadra & Nagar Haveli and Daman & Diu,By2021,2040,0.6434528156104105,0.08882447730972935
wide_combined,Dadra & Nagar Haveli and Daman & Diu,By2021,2050,0.6702039230274752,1.007806509004148
wide_combined,Delhi,By2016,2030,0.3309762996340371,-1.465517659521435
wide_combined,Delhi,By2016,2040,0.42695801390919785,-2.4318150988771317
wide_combined,Delhi,By2016,2050,0.4766613511103628,-3.9877375377632385
wide_combined,Goa,Pre2001,2030,0.4517660230463707,-3.2430930755711365
wide_combined,Goa,Pre2001,2040,0.5072698141785814,-2.991595078006625
wide_combined,Goa,Pre2001,2050,0.529877074858409,-5.113584118177263
wide_combined,Gujarat,By2016,2030,0.4662900103974088,1.3328729848654135
wide_combined,Gujarat,By2016,2040,0.5636794318577454,-1.8025569132432842
wide_combined,Gujarat,By2016,2050,0.6002533938898462,-1.2412735848149745
wide_combined,Haryana,By2016,2030,0.4827306801702469,0.3460162957855039
wide_combined,Haryana,By2016,2040,0.5916494592151811,-1.4934448611858375
wide_combined,Haryana,By2016,2050,0.6266868835676935,0.21269646960924254
wide_combined,Himachal Pradesh,By2011,2030,0.4369537211685053,0.45079882282187106
wide_combined,Himachal Pradesh,By2011,2040,0.517917586459099,-2.7038953090919904
wide_combined,Himachal Pradesh,By2011,2050,0.5467690234159258,-3.09489663212517
wide_combined,Jammu & Kashmir,By2016,2030,0.3884493153500368,2.1595400495363246
wide_combined,Jammu & Kashmir,By2016,2040,0.4817266407437797,-3.8218828581383084
wide_combined,Jammu & Kashmir,By2016,2050,0.5373727292266355,-0.4834992238251814
wide_combined,Jharkhand,NotYet,2030,0.4864008572325076,-1.1849688325566192
wide_combined,Jharkhand,NotYet,2040,0.6019963222094269,-4.422704422409969
wide_combined,Jharkhand,NotYet,2050,0.6656226519145294,-1.5077945100494774
wide_combined,Karnataka,By2011,2030,0.43348420065126825,-1.6786734973235438
wide_combined,Karnataka,By2011,2040,0.5440429621999973,3.58800582753747
wide_combined,Karnataka,By2011,2050,0.5525522223665582,-0.5680807469025286
wide_combined,Kerala,Pre2001,2030,0.3829475174674588,-5.441442457714932
wide_combined,Kerala,Pre2001,2040,0.5032999276516295,0.36660035229403487
wide_combined,Kerala,Pre2001,2050,0.5441158862788246,-0.7126928514438019
wide_combined,Ladakh,By2016,2030,0.3833844883214039,-0.48494953757454995
wide_combined,Ladakh,By2016,2040,0.4722719180567765,-0.43772849306968664
wide_combined,Ladakh,By2016,2050,0.501262549752895,-2.807044515709518
wide_combined,Lakshadweep,By2011,2030,0.5424412389389168,0.7599328781291703
wide_combined,Lakshadweep,By2011,2040,0.5928640224124078,-1.3306329060374236
wide_combined,Lakshadweep,By2011,2050,0.5922096999076699,0.03913608268279515
