year,median,q5,q95,q25,q75,q2.5,q97.5
1971,5.022576557958806,4.986727875184471,5.094520303459761,5.006053749042655,5.048891364110755,4.976022295008176,5.111956481336452
1972,5.022576557958806,4.986727875184471,5.094520303459761,5.006053749042655,5.048891364110755,4.976022295008176,5.111956481336452
1973,4.954150907971057,4.8952986921040305,5.02306466204378,4.929295339847435,4.979647825333954,4.884408912395597,5.037463714152186
1974,4.877301121894769,4.812230740288225,4.945633238898173,4.849621173824332,4.90333116867264,4.800409104528881,4.961099376663334
1975,4.805427412390237,4.7391728531236375,4.870404156271257,4.777939560163573,4.830718412109456,4.727136289713399,4.88415825112174
1976,4.7310807400592925,4.669765141847001,4.796539862548385,4.706126604836008,4.757243573057782,4.658196721089154,4.811337466322271
1977,4.659113903027442,4.596172988043638,4.722702260739617,4.632821232703415,4.685846046259636,4.585176533196975,4.7357102065889265
1978,4.59936735677372,4.538018854560013,4.662767875675469,4.573508588512047,4.625359799684514,4.526195775767138,4.67669089754757
1979,4.551949066168406,4.4892701027876685,4.6139577741790605,4.5267205373832695,4.576439253044805,4.476977929794699,4.625752996685172
1980,4.509429792246729,4.452667112178613,4.572394592669673,4.486028677853893,4.535251447215958,4.440786155403834,4.584475217185363
1981,4.478625181581281,4.417880368188587,4.539973764798277,4.453591469258499,4.50420081925912,4.4076027041096175,4.552470483672799
1982,4.4471813911091616,4.388858380242448,4.506682565367867,4.42225326755798,4.471732264216971,4.377072762709425,4.521002458084309
1983,4.3943651972934354,4.333361140590178,4.4583404177122645,4.3701036804156965,4.420207376302133,4.322709112625849,4.472073652038034
1984,4.323728356499188,4.260203545148148,4.389180034352824,4.29900993579006,4.349472900877122,4.249330643075806,4.403602251506547
1985,4.236442642090394,4.17684676480069,4.300080314494266,4.212372379360394,4.261250100183576,4.164520242468166,4.312169845304343
1986,4.143871751742649,4.085951807313589,4.2050579791689495,4.1199846015714705,4.169349159862844,4.076418164416954,4.21587863228884
1987,4.056906667281607,3.999421930540317,4.117323850859333,4.033121434210951,4.081106545844777,3.9891907988003767,4.126831107136282
1988,3.9708213546163496,3.916612225268455,4.027201113159764,3.9484639845608647,3.993406768299425,3.90655360819337,4.038463546697454
1989,3.8821972451550297,3.8261442486794555,3.939157625009826,3.859764515840936,3.9053756876315,3.8162068781942478,3.9494566275774177
1990,3.792627217289365,3.736786069506814,3.8477228691327543,3.7692361198987325,3.8151704945828713,3.7270963124821823,3.8592236057470823
1991,3.7057404652444332,3.650026628394118,3.7600861774579677,3.6820889124287772,3.7278578571678525,3.6382283741943127,3.7709215257200452
1992,3.6334857748738356,3.5795939139685897,3.6876845193473637,3.6121230979099797,3.655828529007366,3.5692176517395016,3.699719507226751
1993,3.573903517621264,3.5226099619854514,3.6244720583298378,3.5527115075289393,3.5955630662048454,3.5151091167383193,3.6358916241154273
1994,3.516162102362279,3.4655263105233836,3.568129265955808,3.4951063389249915,3.537558006902335,3.4554951338530624,3.578084699103979
1995,3.455045350050435,3.4050442195567507,3.507093763260916,3.435167296520432,3.476781579158596,3.396224707187388,3.5155802939820746
1996,3.391280416198655,3.3417097113568834,3.4423674618460343,3.369977104110494,3.4111139361138685,3.3328267419816853,3.452450027680156
1997,3.322403364528817,3.2751772513074364,3.37158665716972,3.3020872413541773,3.3426890276222654,3.267647781378554,3.3818204587334555
1998,3.2717456627321333,3.2239755099223966,3.3213204409943424,3.251457578763328,3.2927211577855897,3.216021934450657,3.33103094956866
1999,3.2271412618428497,3.1808867095260114,3.2749770700763414,3.2078186576158867,3.2469323267852586,3.171331436898901,3.284084885314734
2000,3.1812435244243424,3.135778465173775,3.228223352926847,3.1627179038550315,3.2004920385079494,3.1273461668939087,3.237730706398406
2001,3.1280657343429397,3.0822896932895727,3.175033248500178,3.1089375908911814,3.1473220885614315,3.072838560428082,3.1836813835389606
2002,3.068554521895591,3.0242164359585377,3.113491752615421,3.050056339440949,3.08748217652623,3.0156799361699935,3.1224096400840216
2003,3.0108895522273516,2.966900752895101,3.0550493332673145,2.992115583574855,3.0288448077657257,2.959243609672946,3.0635371010678094
2004,2.920878833313229,2.880468120325221,2.963146499504271,2.9040269154678295,2.9370205089890753,2.8732130224741987,2.971301069787355
2005,2.843778273215899,2.804699135434195,2.8841404110694198,2.8275943015569904,2.8603408301552222,2.7978528283711457,2.8923520518407946
2006,2.7739636242554457,2.7362524435268325,2.813368922092505,2.758438098471425,2.7906367148363707,2.7300468026230784,2.821556589071379
2007,2.7035167929741615,2.6668098093269403,2.7430656957194954,2.68848329195652,2.7202404846828045,2.6590032752581996,2.748925680594569
2008,2.6367626204970556,2.600629517586754,2.6729596904698005,2.621404900855273,2.651866973126533,2.5946126614824565,2.6802587392145196
2009,2.5717252041537786,2.5368808103209233,2.6079718124327624,2.557496244181299,2.586323319655041,2.530585448195855,2.6155846844075428
