state,year,type,mean,q2.5,q10,q90,q97.5
Andaman & Nicobar Islands,2023,Forecast,1.2134216914234888,1.0052774102327209,1.0704823611369898,1.363948572326955,1.4611466815513519
Andaman & Nicobar Islands,2024,Forecast,1.205968552436473,0.9916351214815464,1.0577249767526182,1.3664511690834837,1.4512366192152766
Andaman & Nicobar Islands,2025,Forecast,1.1992138920831266,0.9750132855569286,1.046182969146493,1.3624224767298532,1.4600497174189104
Andaman & Nicobar Islands,2026,Forecast,1.1924105959746,0.964528395680226,1.037571231074491,1.3584324555096332,1.4603661650158697
Andaman & Nicobar Islands,2027,Forecast,1.1868493775946591,0.9537425076064605,1.0271109685147346,1.3572735696409877,1.4603861263892606
Andaman & Nicobar Islands,2028,Forecast,1.1813706668011885,0.938983204409291,1.0204859786884612,1.3542071798828694,1.462763823689316
Andaman & Nicobar Islands,2029,Forecast,1.1752659385385809,0.9270576173061184,1.013274227740358,1.3494556096107988,1.4631373506907004
Andaman & Nicobar Islands,2030,Forecast,1.1690200979311005,0.9205111164231613,1.0032873932121789,1.347603998376075,1.4622905574721061
Andaman & Nicobar Islands,2031,Forecast,1.162975821652018,0.917760099632711,0.9889350104054625,1.3466409005117006,1.4623334294271726
Andaman & Nicobar Islands,2032,Forecast,1.15701243679771,0.8990097760224021,0.9817683735874073,1.3410847216897686,1.4716621843573006
Andaman & Nicobar Islands,2033,Forecast,1.1514370391403845,0.8959574726907977,0.9772631863651399,1.3396381652413276,1.4650539737123232
Andaman & Nicobar Islands,2034,Forecast,1.147206666105069,0.8860624200591423,0.9694168263894996,1.3389349187777668,1.461043233705287
Andaman & Nicobar Islands,2035,Forecast,1.1420448581731062,0.8816088397706684,0.9594161323891491,1.3354979341951974,1.4518783407663756
Andaman & Nicobar Islands,2036,Forecast,1.1354151582585725,0.8706923327705308,0.9499464508221532,1.3312875166048181,1.4509772851132292
Andaman & Nicobar Islands,2037,Forecast,1.1295701682757364,0.8582529559812904,0.9434011049021772,1.328812674295598,1.4510902668949737
Andaman & Nicobar Islands,2038,Forecast,1.1241273590217995,0.8521609535274351,0.9374081073717484,1.328901966419943,1.447381504153263
Andaman & Nicobar Islands,2039,Forecast,1.1192945394939202,0.8477627196136971,0.9313512352102273,1.3232021903821116,1.4401127275242922
Andaman & Nicobar Islands,2040,Forecast,1.1150281099055466,0.8417836908177752,0.9229960822822304,1.3217166002694163,1.4420774510100056
Andaman & Nicobar Islands,2041,Forecast,1.1104477619204307,0.8336277991261818,0.9176292885103493,1.3154155003402397,1.4424857710911658
Andaman & Nicobar Islands,2042,Forecast,1.1060155049900557,0.8307592953196532,0.908143334463171,1.3148379093769365,1.4522454512896212
Andaman & Nicobar Islands,2043,Forecast,1.1020169395280308,0.8200010463388712,0.9043364767124995,1.3115167394908642,1.4471767467534444
Andaman & Nicobar Islands,2044,Forecast,1.0982715541889772,0.8160778223917778,0.9003111207717799,1.3089666179239114,1.4466066071680317
Andaman & Nicobar Islands,2045,Forecast,1.0940004497394111,0.8037238016822416,0.8970603278371844,1.30586621616574,1.4429568501514856
Andaman & Nicobar Islands,2046,Forecast,1.0903490964146572,0.8043718753290311,0.8934863971082877,1.304368695396394,1.4517428540313297
Andaman & Nicobar Islands,2047,Forecast,1.085534007458945,0.7971292351262826,0.8873958755599457,1.2999447023519346,1.447778257560185
Andaman & Nicobar Islands,2048,Forecast,1.0818335726942663,0.7913747170358147,0.8848102672738402,1.2994915732970815,1.4408111742761824
Andaman & Nicobar Islands,2049,Forecast,1.078839672806643,0.7876194800793357,0.8773630898605128,1.298215376770854,1.4422627400137777
Andaman & Nicobar Islands,2050,Forecast,1.074850485749055,0.7823432453995438,0.8711786558412168,1.295054404646944,1.4367503038142437
Andhra Pradesh,2024,Forecast,1.496274498586367,1.3459052518348316,1.3977386601944197,1.5995064831920809,1.6583669155431302
Andhra Pradesh,2025,Forecast,1.4801403036274543,1.3031815252950156,1.3666681743123792,1.600051482975295,1.6694529364585282
Andhra Pradesh,2026,Forecast,1.4644495676672349,1.2712945607212995,1.334564545507384,1.5982498785163788,1.6738580650014245
Andhra Pradesh,2027,Forecast,1.4485263538811586,1.2396700839406876,1.307168269760921,1.5931685892276808,1.6786070353187839
